"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.101? (ARP Probe)"
"2","0.000002","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.101? (ARP Probe)"
"3","1.001159","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.101? (ARP Probe)"
"4","1.001163","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.101? (ARP Probe)"
"5","1.081146","0a:00:27:00:00:00","5a:94:d2:14:5a:51","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"6","2.000412","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.101? (ARP Probe)"
"7","2.000416","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.101? (ARP Probe)"
"8","2.104687","0a:00:27:00:00:00","5a:94:d2:14:5a:51","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"9","3.008047","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.1? Tell 192.168.56.101"
"10","3.008050","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.1? Tell 192.168.56.101"
"11","3.008060","0a:00:27:00:00:00","5a:94:d2:14:5a:51","ARP","42","192.168.56.1 is at 0a:00:27:00:00:00"
"12","3.010011","192.168.56.101","224.0.0.252","LLMNR","66","Standard query 0x4163 A isatap"
"13","3.010013","192.168.56.101","224.0.0.252","LLMNR","66","Standard query 0x4163 A isatap"
"14","3.013870","192.168.56.101","224.0.0.22","IGMPv3","54","Membership Report / Leave group 224.0.0.252"
"15","3.013871","192.168.56.101","224.0.0.22","IGMPv3","54","Membership Report / Leave group 224.0.0.252"
"16","3.032729","192.168.56.101","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"17","3.032738","192.168.56.101","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"18","3.035069","192.168.56.101","224.0.0.252","LLMNR","64","Standard query 0x21c1 ANY None"
"19","3.035085","192.168.56.101","224.0.0.252","LLMNR","64","Standard query 0x21c1 ANY None"
"20","3.050015","192.168.56.101","224.0.0.22","IGMPv3","54","Membership Report / Join group 239.255.255.250 for any sources"
"21","3.050021","192.168.56.101","224.0.0.22","IGMPv3","54","Membership Report / Join group 239.255.255.250 for any sources"
"22","3.086077","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<20>"
"23","3.086080","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<20>"
"24","3.086872","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<00>"
"25","3.086874","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<00>"
"26","3.088024","192.168.56.101","192.168.56.255","NBNS","110","Registration NB WORKGROUP<00>"
"27","3.088026","192.168.56.101","192.168.56.255","NBNS","110","Registration NB WORKGROUP<00>"
"28","3.113804","192.168.56.101","224.0.0.252","LLMNR","66","Standard query 0x4163 A isatap"
"29","3.113806","192.168.56.101","224.0.0.252","LLMNR","66","Standard query 0x4163 A isatap"
"30","3.128849","0a:00:27:00:00:00","5a:94:d2:14:5a:51","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"31","3.128958","5a:94:d2:14:5a:51","0a:00:27:00:00:00","ARP","42","192.168.56.101 is at 5a:94:d2:14:5a:51"
"32","3.129031","192.168.56.101","224.0.0.252","LLMNR","64","Standard query 0x21c1 ANY None"
"33","3.129033","192.168.56.101","224.0.0.252","LLMNR","64","Standard query 0x21c1 ANY None"
"34","3.176176","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.1? Tell 192.168.56.101"
"35","3.176179","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.1? Tell 192.168.56.101"
"36","3.176185","0a:00:27:00:00:00","5a:94:d2:14:5a:51","ARP","42","192.168.56.1 is at 0a:00:27:00:00:00"
"37","3.314225","192.168.56.101","192.168.56.255","NBNS","92","Name query NB ISATAP<00>"
"38","3.314228","192.168.56.101","192.168.56.255","NBNS","92","Name query NB ISATAP<00>"
"39","3.377914","192.168.56.101","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"40","3.377918","192.168.56.101","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"41","3.505863","192.168.56.101","224.0.0.22","IGMPv3","62","Membership Report / Join group 224.0.0.252 for any sources / Join group 239.255.255.250 for any sources"
"42","3.505866","192.168.56.101","224.0.0.22","IGMPv3","62","Membership Report / Join group 224.0.0.252 for any sources / Join group 239.255.255.250 for any sources"
"43","3.659574","192.168.56.101","239.255.255.250","SSDP","139","M-SEARCH * HTTP/1.1 "
"44","3.659576","192.168.56.101","239.255.255.250","SSDP","139","M-SEARCH * HTTP/1.1 "
"45","3.668027","192.168.56.101","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"46","3.668029","192.168.56.101","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"47","3.828371","192.168.56.101","192.168.56.255","NBNS","110","Registration NB WORKGROUP<00>"
"48","3.828375","192.168.56.101","192.168.56.255","NBNS","110","Registration NB WORKGROUP<00>"
"49","3.828445","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<00>"
"50","3.828447","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<00>"
"51","3.828483","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<20>"
"52","3.828484","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<20>"
"53","3.831655","192.168.56.101","239.255.255.250","UDP","666","65391  >  3702 Len=624"
"54","3.831657","192.168.56.101","239.255.255.250","UDP","666","65391  >  3702 Len=624"
"55","3.922302","192.168.56.101","239.255.255.250","UDP","666","65391  >  3702 Len=624"
"56","3.922304","192.168.56.101","239.255.255.250","UDP","666","65391  >  3702 Len=624"
"57","4.062927","192.168.56.101","192.168.56.255","NBNS","92","Name query NB ISATAP<00>"
"58","4.062930","192.168.56.101","192.168.56.255","NBNS","92","Name query NB ISATAP<00>"
"59","4.537871","192.168.56.101","224.0.0.252","LLMNR","64","Standard query 0xc4c8 A wpad"
"60","4.537873","192.168.56.101","224.0.0.252","LLMNR","64","Standard query 0xc4c8 A wpad"
"61","4.581774","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<20>"
"62","4.581778","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<20>"
"63","4.581837","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<00>"
"64","4.581838","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<00>"
"65","4.581874","192.168.56.101","192.168.56.255","NBNS","110","Registration NB WORKGROUP<00>"
"66","4.581875","192.168.56.101","192.168.56.255","NBNS","110","Registration NB WORKGROUP<00>"
"67","4.625616","192.168.56.101","224.0.0.252","LLMNR","64","Standard query 0xc4c8 A wpad"
"68","4.625617","192.168.56.101","224.0.0.252","LLMNR","64","Standard query 0xc4c8 A wpad"
"69","4.817077","192.168.56.101","192.168.56.255","NBNS","92","Name query NB ISATAP<00>"
"70","4.817081","192.168.56.101","192.168.56.255","NBNS","92","Name query NB ISATAP<00>"
"71","4.834822","192.168.56.101","192.168.56.255","NBNS","92","Name query NB WPAD<00>"
"72","4.834825","192.168.56.101","192.168.56.255","NBNS","92","Name query NB WPAD<00>"
"73","5.333001","192.168.56.101","192.168.56.255","NBNS","110","Registration NB WORKGROUP<00>"
"74","5.333005","192.168.56.101","192.168.56.255","NBNS","110","Registration NB WORKGROUP<00>"
"75","5.333067","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<00>"
"76","5.333068","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<00>"
"77","5.333102","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<20>"
"78","5.333103","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<20>"
"79","5.569174","192.168.56.101","224.0.0.252","LLMNR","66","Standard query 0x971a A isatap"
"80","5.569176","192.168.56.101","224.0.0.252","LLMNR","66","Standard query 0x971a A isatap"
"81","5.582543","192.168.56.101","192.168.56.255","NBNS","92","Name query NB WPAD<00>"
"82","5.582545","192.168.56.101","192.168.56.255","NBNS","92","Name query NB WPAD<00>"
"83","5.678209","192.168.56.101","224.0.0.252","LLMNR","66","Standard query 0x971a A isatap"
"84","5.678211","192.168.56.101","224.0.0.252","LLMNR","66","Standard query 0x971a A isatap"
"85","5.882020","192.168.56.101","192.168.56.255","NBNS","92","Name query NB ISATAP<00>"
"86","5.882023","192.168.56.101","192.168.56.255","NBNS","92","Name query NB ISATAP<00>"
"87","6.024135","192.168.56.101","8.8.8.8","DNS","85","Standard query 0xab76 A teredo.ipv6.microsoft.com"
"88","6.041398","8.8.8.8","192.168.56.101","DNS","158","Standard query response 0xab76 No such name A teredo.ipv6.microsoft.com SOA ns1-04.azure-dns.com"
"89","6.089493","192.168.56.101","192.168.56.255","NBNS","110","Registration NB WORKGROUP<1e>"
"90","6.089497","192.168.56.101","192.168.56.255","NBNS","110","Registration NB WORKGROUP<1e>"
"91","6.330133","192.168.56.101","192.168.56.255","NBNS","92","Name query NB WPAD<00>"
"92","6.330137","192.168.56.101","192.168.56.255","NBNS","92","Name query NB WPAD<00>"
"93","6.383030","192.168.56.101","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"94","6.383033","192.168.56.101","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
