,No.,Time,Source,Destination,Protocol,Length,Info
0,1,0.0,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
1,2,1.024607,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
2,3,2.048486,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
3,4,3.944922,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
4,5,4.960446,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
5,6,5.983992,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
6,7,8.011284,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
7,8,9.024532,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
8,9,10.048605,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
9,10,11.890301,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
10,11,11.890303,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
11,12,12.075678,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
12,13,12.891096,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
13,14,12.8911,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
14,15,13.08909,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
15,16,13.891285,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
16,17,13.89129,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
17,18,14.111989,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
18,19,14.89025,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
19,20,14.890254,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
20,21,14.890303,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,192.168.56.1 is at 0a:00:27:00:00:00
21,22,14.892928,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0x4163 A isatap
22,23,14.892929,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0x4163 A isatap
23,24,14.904203,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Leave group 224.0.0.252
24,25,14.904205,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Leave group 224.0.0.252
25,26,14.928189,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Join group 224.0.0.252 for any sources
26,27,14.928191,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Join group 224.0.0.252 for any sources
27,28,14.938991,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x21c1 ANY None
28,29,14.938993,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x21c1 ANY None
29,30,14.948129,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Join group 239.255.255.250 for any sources
30,31,14.948131,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Join group 239.255.255.250 for any sources
31,32,14.975669,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
32,33,14.97567,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
33,34,14.975991,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
34,35,14.975993,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
35,36,14.976089,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
36,37,14.97609,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
37,38,15.003621,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0x4163 A isatap
38,39,15.003622,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0x4163 A isatap
39,40,15.04814,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x21c1 ANY None
40,41,15.048141,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x21c1 ANY None
41,42,15.064376,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
42,43,15.064378,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
43,44,15.064386,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,192.168.56.1 is at 0a:00:27:00:00:00
44,45,15.204446,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
45,46,15.20445,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
46,47,15.253886,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
47,48,15.253889,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
48,49,15.395581,192.168.56.101,224.0.0.22,IGMPv3,62,Membership Report / Join group 224.0.0.252 for any sources / Join group 239.255.255.250 for any sources
49,50,15.395586,192.168.56.101,224.0.0.22,IGMPv3,62,Membership Report / Join group 224.0.0.252 for any sources / Join group 239.255.255.250 for any sources
50,51,15.556515,192.168.56.101,239.255.255.250,SSDP,139,M-SEARCH * HTTP/1.1 
51,52,15.556517,192.168.56.101,239.255.255.250,SSDP,139,M-SEARCH * HTTP/1.1 
52,53,15.571683,192.168.56.101,239.255.255.250,SSDP,171,M-SEARCH * HTTP/1.1 
53,54,15.571685,192.168.56.101,239.255.255.250,SSDP,171,M-SEARCH * HTTP/1.1 
54,55,15.720859,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
55,56,15.720863,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
56,57,15.721506,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
57,58,15.72152,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
58,59,15.722243,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
59,60,15.722256,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
60,61,15.733938,192.168.56.101,239.255.255.250,UDP,666,65391  >  3702 Len=624
61,62,15.733941,192.168.56.101,239.255.255.250,UDP,666,65391  >  3702 Len=624
62,63,15.812983,192.168.56.101,239.255.255.250,UDP,666,65391  >  3702 Len=624
63,64,15.812988,192.168.56.101,239.255.255.250,UDP,666,65391  >  3702 Len=624
64,65,15.952527,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
65,66,15.95253,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
66,67,16.44739,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0xc4c8 A wpad
67,68,16.447392,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0xc4c8 A wpad
68,69,16.468369,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
69,70,16.468372,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
70,71,16.468457,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
71,72,16.468458,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
72,73,16.468544,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
73,74,16.468545,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
74,75,16.547591,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0xc4c8 A wpad
75,76,16.547593,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0xc4c8 A wpad
76,77,16.702836,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
77,78,16.70284,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
78,79,16.75347,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
79,80,16.753472,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
80,81,17.218852,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
81,82,17.218855,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
82,83,17.218928,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
83,84,17.218929,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
84,85,17.218966,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
85,86,17.218967,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
86,87,17.454959,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0x971a A isatap
87,88,17.45496,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0x971a A isatap
88,89,17.500108,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
89,90,17.50011,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
90,91,17.562234,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0x971a A isatap
91,92,17.562236,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0x971a A isatap
92,93,17.777227,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
93,94,17.777231,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
94,95,17.895155,192.168.56.101,8.8.8.8,DNS,85,Standard query 0xab76 A teredo.ipv6.microsoft.com
95,96,17.912296,8.8.8.8,192.168.56.101,DNS,158,Standard query response 0xab76 No such name A teredo.ipv6.microsoft.com SOA ns1-04.azure-dns.com
96,97,17.983247,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1e>
97,98,17.983251,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1e>
98,99,18.250743,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
99,100,18.250748,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
100,101,18.250844,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
101,102,18.250846,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
102,103,18.298171,192.168.56.101,239.255.255.250,SSDP,171,M-SEARCH * HTTP/1.1 
103,104,18.298172,192.168.56.101,239.255.255.250,SSDP,171,M-SEARCH * HTTP/1.1 
